college,rank
Kalamazoo College,303
Whitworth University,304
Milwaukee School of Engineering,305
Vanguard University of Southern California,306
Concordia College,307
Miami University,308
Stanbridge University - Orange County,309
Regent University,310
Oklahoma City University,311
New Jersey Institute of Technology,312
Loyola University New Orleans,313
Abilene Christian University,314
Seattle Pacific University,315
George Mason University,316
Seton Hall University,317
Hobart and William Smith Colleges,318
University of the Pacific,319
Illinois Institute of Technology,320
Columbia International University,321
D'Youville,322
Butler University,323
Wofford College,324
Florida A&M University,325
University of Nevada - Reno,326
California Baptist University,327
University of St. Thomas - Texas,328
University of Northern Iowa,329
University of Louisiana at Lafayette,330
Citadel Military College of South Carolina,331
Loras College,332
Keiser University - Fort Lauderdale,333
Indiana University-Purdue University - Indianapolis (IUPUI),334
The Master's University,335
University of West Florida,336
Baldwin Wallace University,337
North Dakota State University,338
Northwest Nazarene University,339
Westminster College - Utah,340
Adelphi University,341
Northwest University,342
The College of St. Scholastica,343
University of Missouri - St. Louis,344
University of Southern Mississippi,345
Utah State University,346
Molloy University,347
University of South Alabama,348
Salve Regina University,349
St. John Fisher University,350
Martin Luther College,351
University of North Texas,352
CUNY Lehman College,353
John Carroll University,354
North Park University,355
Duquesne University,356
Rockhurst University,357
Howard University,358
Concordia University - Wisconsin,359
Trinity Christian College,360
Lubbock Christian University,361
University of North Carolina at Charlotte,362
Emerson College,363
Grand Canyon University,364
University of Texas - Rio Grande Valley,365
University of North Carolina - Greensboro,366
University of Hawaii at Manoa,367
New Mexico State University,368
University of Nebraska at Omaha,369
South Dakota State University,370
Everglades University,371
University of Minnesota Crookston,372
University of Evansville,373
DigiPen Institute of Technology,374
Arizona State University - Downtown Phoenix Campus,375
Loyola University Maryland,376
Marian University Indianapolis,377
Azusa Pacific University,378
Providence College,379
University of Michigan - Dearborn,380
University of Alaska Southeast,381
Florida Atlantic University,382
Belhaven University,383
Minot State University,384
Embry-Riddle Aeronautical University - Worldwide,385
William Jewell College,386
Valparaiso University,387
University of North Florida,388
University of Washington - Tacoma,389
Centre College,390
The College of Idaho,391
Wheeling University,392
Agnes Scott College,393
Willamette University,394
Bard College,395
Monroe College - Bronx/New Rochelle,396
University of Charleston,397
University of South Dakota,398
Stetson University,399
Earlham College,400
Bryant University,401
Augusta University,402
University of Puget Sound,403
Milligan University,404
New College of Florida,405
St. Mary's College of Maryland,406
Christopher Newport University,407
University of Nebraska at Kearney,408
Embry-Riddle Aeronautical University - Prescott,409
University of Memphis,410
Eastern Mennonite University,411
Indiana University - East,412
St. Joseph's University - New York,413
Towson University,414
Grand Valley State University,415
Avila University,416
University of Massachusetts Lowell,417
University of Texas - Arlington,418
California State University - Fullerton,419
Western Carolina University,420
Indiana Wesleyan University,421
University of California - Santa Cruz,422
"Penn State Fayette, The Eberly Campus",423
SUNY Farmingdale State College,424
Monmouth University,425
The American Musical and Dramatic Academy (AMDA) - New York,426
University of Mobile,427
Regis University,428
The University of Virginia's College at Wise,429
Boise State University,430
Bethany Lutheran College,431
Spring Arbor University,432
University of New Hampshire at Manchester,433
Saint Mary's University of Minnesota,434
Mount Saint Mary's University Los Angeles,435
Bowling Green State University,436
Berea College,437
Truman State University,438
Elon University,439
Millsaps College,440
University of St. Francis - Illinois,441
East Tennessee State University,442
Saint Joseph's University,443
St. Mary's University,444
University of Tennessee at Martin,445
Pittsburg State University,446
Arkansas State University,447
Wheaton College - Massachusetts,448
Bethel University - Minnesota,449
Queens University of Charlotte,450
Viterbo University,451
University of Washington - Bothell,452
Salish Kootenai College,453
Emporia State University,454
Wisconsin Lutheran College,455
Colorado Christian University,456
Lincoln Memorial University,457
Susquehanna University,458
SUNY New Paltz,459
University of Saint Joseph,460
East Carolina University,461
Nebraska Wesleyan University,462
Metropolitan State University - Minnesota,463
Jacksonville State University,464
Eastern New Mexico University,465
Pacific Lutheran University,466
Kent State University,467
University of the Incarnate Word,468
Florida Gulf Coast University,469
Marist College,470
University of Rhode Island,471
Saint Francis University,472
Texas State University,473
Manhattan School of Music,474
Stephen F. Austin State University,475
Bellarmine University,476
Drury University,477
University of Minnesota Duluth,478
Shenandoah University,479
University of Texas - Tyler,480
Central Michigan University,481
Southwestern University,482
"Minnesota State University, Mankato",483
Elmhurst University,484
Illinois State University,485
College of Charleston,486
Tennessee Technological University,487
University of South Carolina Aiken,488
Baker University,489
Murray State University,490
CUNY City College of New York,491
Christian Brothers University,492
Transylvania University,493
Penn State York,494
Beloit College,495
Northern Arizona University,496
Pacific University Oregon,497
University of Texas - Permian Basin,498
Spalding University,499
Mississippi University for Women,500
