college,rank,UNITID,OPEID,OPEID6,CITY,STABBR,ZIP,ACCREDAGENCY,LATITUDE,LONGITUDE,REGION,CCBASIC,CONTROL,ADM_RATE,SATVR25,SATVR75,SATMT25,SATMT75,SATWR25,SATWR75,SATVRMID,SATMTMID,SATWRMID,ACTCM25,ACTCM75,ACTEN25,ACTEN75,ACTMT25,ACTMT75,ACTWR25,ACTWR75,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,UGDS,UG,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,NPT4_PUB,NPT4_PRIV,COSTT4_A,COSTT4_P,AVGFACSAL,PCTPELL,C150_4,AGE_ENTRY,FEMALE,MARRIED,FIRST_GEN,FAMINC,MD_FAMINC,MN_EARN_WNE_P10,MD_EARN_WNE_P10,ENDOWBEGIN
Columbia University,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vanderbilt University,13,221999,353500,3535,Nashville,TN,37240,Southern Association of Colleges and Schools Commission on Colleges,36.14659,-86.803369,5,15,2,0.1162,720,770,750,800,690,770,745,775,730,33,35,34,36,31,35,8,10,34,35,33,9,1520,7052,NULL,0.4243,0.1105,0.1007,0.16,0.0038,0.0031,0.0569,0.0943,0.0465,NULL,19970,73148,NULL,14538,0.1589,0.9275,19.59136546,0.52811245,PrivacySuppressed,0.122257053,91752.13253,58118,86200,79872,6270876534
Northwestern University,14,147767,173900,1739,Evanston,IL,60208,Higher Learning Commission,42.050356,-87.679858,3,15,2,0.0931,700,760,730,790,680,770,730,760,725,33,35,34,36,31,35,8,10,34,35,33,9,1505,8401,NULL,0.4178,0.0613,0.1301,0.1938,0.001,0.0004,0.0624,0.099,0.0343,NULL,23279,78654,NULL,17513,0.1838,0.9495,20.45249406,0.524346793,0.01543943,0.151571165,95373.66687,58835.5,93400,80033,8244818000
Washington University in St. Louis,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Chicago,16,144050,177400,1774,Chicago,IL,60637,Higher Learning Commission,41.787994,-87.599539,3,15,2,0.0731,730,770,770,800,700,780,750,785,740,34,35,35,36,31,35,NULL,NULL,35,36,33,NULL,1537,7010,NULL,0.3566,0.0546,0.1464,0.2041,0.0004,0.0003,0.0725,0.1489,0.0161,NULL,28517,81531,NULL,18432,0.1144,0.9598,20.00879765,0.519061584,PrivacySuppressed,0.202435312,100617.132,47139.5,103000,76730,7244602984
Georgetown University,17,131496,144500,1445,Washington,DC,20057-0001,Middle States Commission on Higher Education,38.908809,-77.073463,2,15,2,0.1681,690,760,690,790,NULL,NULL,725,740,NULL,31,35,33,36,29,34,NULL,NULL,33,35,32,NULL,1473,7119,NULL,0.4932,0.0663,0.0951,0.1212,0.0008,0.0007,0.0544,0.1416,0.0267,NULL,32108,76280,NULL,15393,0.1291,0.9422,20.12315634,0.589970502,0.009587021,0.160645657,108786.0797,78300.5,125200,96375,1822484000
Harvey Mudd College,18,115409,117100,1171,Claremont,CA,91711,Western Association of Schools and Colleges Senior Colleges and University Commission,34.106515,-117.709837,8,21,2,0.1796,720,770,770,800,680,760,745,785,720,34,35,34,36,33,36,NULL,NULL,35,35,35,NULL,1534,827,NULL,0.2769,0.0411,0.2031,0.2297,0.0024,0.0036,0.1028,0.0738,0.0665,NULL,33467,79539,NULL,14391,0.1294,0.9271,19.23039216,0.43627451,PrivacySuppressed,PrivacySuppressed,123783.5245,104805.5,104200,108988,328567827
University of Notre Dame,19,152080,184000,1840,Notre Dame,IN,46556,Higher Learning Commission,41.703058,-86.238959,3,15,2,0.1899,690,760,710,790,NULL,NULL,725,750,NULL,32,35,NULL,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,1489,8854,NULL,0.6781,0.0344,0.115,0.0495,0.0027,0.0012,0.0555,0.0549,0.0087,NULL,31101,74172,NULL,14612,0.1028,0.9651,19.5092207,0.460440214,PrivacySuppressed,0.1023766,134386.611,112232,98400,88962,11565964000
Pomona College,20,121345,117300,1173,Claremont,CA,91711-6319,Western Association of Schools and Colleges Senior Colleges and University Commission,34.099027,-117.714556,8,21,2,0.0862,NULL,NULL,NULL,NULL,680,770,NULL,NULL,725,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1462,NULL,0.3003,0.1081,0.1854,0.1833,0.0014,0.0034,0.0705,0.1094,0.0383,NULL,17949,74438,NULL,13714,0.2095,0.9399,19.43018868,0.501886793,PrivacySuppressed,0.299180328,67046.89811,42689,77300,69149,2321097000
Johns Hopkins University,21,162928,207700,2077,Baltimore,MD,21218-2688,Middle States Commission on Higher Education,39.328977,-76.621595,2,15,2,0.1106,720,760,750,800,670,770,740,775,720,34,36,34,36,32,35,8,10,35,35,34,9,1532,5752,NULL,0.258,0.0798,0.1655,0.2717,0.0007,0.0009,0.0692,0.1213,0.0329,NULL,23428,74001,NULL,15417,0.1541,0.944,21.05695364,0.517218543,0.036423841,0.131271478,104767.6974,79479.5,89300,83287,6275939000
